Year,Apprehensions,,Source:,1925-2012,https://www.hsdl.org/c/view?docid=734433
1925,22199,,,2013,https://www.cbp.gov/sites/default/files/documents/U.S.%20Border%20Patrol%20Fiscal%20Year%202013%20Profile.pdf
1926,12735,,,2014,https://www.cbp.gov/sites/default/files/documents/CBPAccessV4.01_013015.pdf
1927,16393,,,2015-2017,https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics-fy2017
1928,23566,,,2018-2020,https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics-fy2023
1929,32711,,,2021-2024,https://www.cbp.gov/document/stats/nationwide-encounters
1930,20880,,,,
1931,22276,,,,
1932,22735,,,,
1933,20949,,,,
1934,10319,,,,
1935,11016,,,,
1936,11728,,,,
1937,13054,,,,
1938,12851,,,,
1939,12037,,,,
1940,10492,,,,
1941,11294,,,,
1942,11784,,,,
1943,11175,,,,
1944,31175,,,,
1945,69164,,,,
1946,99591,,,,
1947,193657,,,,
1948,192779,,,,
1949,288253,,,,
1950,468339,,,,
1951,509040,,,,
1952,528815,,,,
1953,835311,,,,
1954,1028246,,,,
1955,225186,,,,
1956,68420,,,,
1957,46225,,,,
1958,40504,,,,
1959,32996,,,,
1960,28966,,,,
1961,29384,,,,
1962,29897,,,,
1963,38861,,,,
1964,42879,,,,
1965,52422,,,,
1966,79610,,,,
1967,94778,,,,
1968,123519,,,,
1969,172391,,,,
1970,231116,,,,
1971,302517,,,,
1972,396495,,,,
1973,498123,,,,
1974,634777,,,,
1975,596796,,,,
1976,696039,,,,
1977,812541,,,,
1978,862837,,,,
1979,888729,,,,
1980,759420,,,,
1981,825290,,,,
1982,819919,,,,
1983,1105670,,,,
1984,1138566,,,,
1985,1262435,,,,
1986,1692544,,,,
1987,1158030,,,,
1988,969214,,,,
1989,891147,,,,
1990,1103353,,,,
1991,1132033,,,,
1992,1199560,,,,
1993,1263490,,,,
1994,1031668,,,,
1995,1324202,,,,
1996,1549876,,,,
1997,1412953,,,,
1998,1555776,,,,
1999,1579010,,,,
2000,1676438,,,,
2001,1266214,,,,
2002,955310,,,,
2003,931557,,,,
2004,1160395,,,,
2005,1189075,,,,
2006,1089092,,,,
2007,876704,,,,
2008,723825,,,,
2009,556041,,,,
2010,463382,,,,
2011,340252,,,,
2012,364768,,,,
2013,420789,,,,
2014,486651,,,,
2015,337117,,,,
2016,415816,,,,
2017,310531,,,,
2018,404142,,,,
2019,859501,,,,
2020,405036,,,,
2021,1662167,,,,
2022,2214652,,,,
2023,2063692,,,,
2024,1557319,,,,
